Req ID,Type,Requirement / Constraint,Spec §,Module  (file : function),Assigned,Mod TC,Int TC,Sys TC,Evidence Path,Status,CER Claim,Notes / Risks
RQ-01,Functional,"WTIMER_Init() initialises 32-bit wide timer (WTIMER1–5, student choice) for 1 ms delay resolution",§5.1,wtimer.c : WTIMER_Init,Eric,TC-MOD-001,TC-INT-010,TC-SYS-001,evidence/TC-MOD-001_timer_init.png,?? Not Started,Timer initialises without error; 1 ms delay confirmed by oscilloscope,"? EXAMPLE ROW — Study this, then complete the rows below.  |  WTIMER0 not allowed; student must choose WTIMER1–5."
RQ-02,Functional,WTIMER_Delay(ms) blocks for specified milliseconds at 1 ms timer resolution,§5.1,wtimer.c : WTIMER_Delay,Eric,[TC-MOD-???],[TC-INT-???],[TC-SYS-???],[evidence/path],?? Not Started,[Claim — Evidence — Reasoning],[Notes / risks]
RQ-03,Functional,UART0_Init() initializes UART0 at a chosen baud rate except 57600,§5.2,UART.c : UART0_Init,Dante,[TC-MOD-???],[TC-INT-???],[TC-SYS-???],[evidence/path],In Progress,[Claim — Evidence — Reasoning],[Notes / risks]
RQ-04,Functional,UART0_SendChar(c) sends a single character to the serial terminal,§5.2,UART.c : UART0_SendChar,Dante,[TC-MOD-???],[TC-INT-???],[TC-SYS-???],[evidence/path],In Progress,[Claim — Evidence — Reasoning],[Notes / risks]
RQ-05,Functional,UART0_SendString(s) sends a single string to the serial terminal,§5.2,UART.c : UART0_SendString,Dante,[TC-MOD-???],[TC-INT-???],[TC-SYS-???],[evidence/path],In Progress,[Claim — Evidence — Reasoning],[Notes / risks]
RQ-06,Functional,UART0_SendInteger(n) sends a integer as a decimal string,§5.2,UART.c : UART0_StringInteger,Dante,[TC-MOD-???],[TC-INT-???],[TC-SYS-???],[evidence/path],In Progress,[Claim — Evidence — Reasoning],[Notes / risks]
RQ-07,Functional,"UART0_SendFloat(f, decimal) sets a float to a certain precision",§5.2,UART.c : UART0_SendFloat,Dante,[TC-MOD-???],[TC-INT-???],[TC-SYS-???],[evidence/path],In Progress,[Claim — Evidence — Reasoning],[Notes / risks]
RQ-08,Functional,I2C_Init() initializes I2C1-3 at 100 kHz with three slave devices (Needs 4.7k? resistors on SDA and SCL),§5.3,I2C.c : I2C_Init,TK,[TC-MOD-???],[TC-INT-???],[TC-SYS-???],[evidence/path],?? Not Started,[Claim — Evidence — Reasoning],[Notes / risks]
RQ-09,Functional,"I2C_Write(addr, reg, data) write single byte to a slave register",§5.3,I2C.c : I2C_Write,TK,[TC-MOD-???],[TC-INT-???],[TC-SYS-???],[evidence/path],?? Not Started,[Claim — Evidence — Reasoning],[Notes / risks]
RQ-10,Functional,"I2C_Read(addr, reg, count, buffer) read multiple bytes from a slave register",§5.3,I2C.c : I2C_Read,TK,[TC-MOD-???],[TC-INT-???],[TC-SYS-???],[evidence/path],?? Not Started,[Claim — Evidence — Reasoning],[Notes / risks]
RQ-11,Functional,"TCS34725_Init() Initializes sensor, detects via ID register 0x12 returns 0x44",§5.4,TCS34725.c : TCS34725_Init,Alex,[TC-MOD-???],[TC-INT-???],[TC-SYS-???],[evidence/path],?? Not Started,[Claim — Evidence — Reasoning],[Notes / risks]
RQ-12,Functional,TCS34725_Enable() turns on color sensing via ENABLE register 0x80,§5.4,TCS34725.c : TCS34725_Enable,Alex,[TC-MOD-???],[TC-INT-???],[TC-SYS-???],[evidence/path],?? Not Started,[Claim — Evidence — Reasoning],[Notes / risks]
RQ-13,Functional,"TCS34725_ReadColor(r, g, b) reads 16 bit rgb values 0x94-99",§5.4,TCS34725.c : TCS34725_ReadColor,Alex,[TC-MOD-???],[TC-INT-???],[TC-SYS-???],[evidence/path],?? Not Started,[Claim — Evidence — Reasoning],[Notes / risks]
RQ-14,Functional,MPU6050_Init():Initialize sensor,§5.5,MPU6050.c: MPU6050_Init,Eric,[TC-MOD-???],[TC-INT-???],[TC-SYS-???],[evidence/path],?? Not Started,[Claim — Evidence — Reasoning],[Notes / risks]
RQ-15,Functional,MPU6050_Enable(): Config & enable measurements,§5.5,MPU6050.c: MPU6050_Enable,Eric,[TC-MOD-???],[TC-INT-???],[TC-SYS-???],[evidence/path],?? Not Started,[Claim — Evidence — Reasoning],[Notes / risks]
RQ-16,Functional,"MPU6050_ReadAccel(ax, ay, az): Read 3-axis acceleration",§5.5,MPU6050.c: MPU6050_ReadAccel,Eric,[TC-MOD-???],[TC-INT-???],[TC-SYS-???],[evidence/path],?? Not Started,[Claim — Evidence — Reasoning],[Notes / risks]
RQ-17,Functional,"MPU6050_ReadGyro(gx, gy, gz): Read 3-axis rotation",§5.5,MPU6050.c: MPU6050_ReadGyro,Eric,[TC-MOD-???],[TC-INT-???],[TC-SYS-???],[evidence/path],?? Not Started,[Claim — Evidence — Reasoning],[Notes / risks]
RQ-18,Functional,LCD_Init(): Init LCD,§5.6,LCD.c : LCD_Init,Dante,[TC-MOD-???],[TC-INT-???],[TC-SYS-???],[evidence/path],?? Not Started,[Claim — Evidence — Reasoning],[Notes / risks]
RQ-19,Functional,LCD_PrintText(text): Display text on LCD,§5.6,LCD.c : LCD_PrintText,Dante,[TC-MOD-???],[TC-INT-???],[TC-SYS-???],[evidence/path],?? Not Started,[Claim — Evidence — Reasoning],[Notes / risks]
RQ-20,Functional,"LCD_SetCursor(row, col): Position cursor",§5.6,LCD.c : LCD_SetCursor,Dante,[TC-MOD-???],[TC-INT-???],[TC-SYS-???],[evidence/path],?? Not Started,[Claim — Evidence — Reasoning],[Notes / risks]
RQ-21,Functional,LCD_Clear(): Clear display & home cursor,§5.6,LCD.c : LCD_Clear,Dante,[TC-MOD-???],[TC-INT-???],[TC-SYS-???],[evidence/path],?? Not Started,[Claim — Evidence — Reasoning],[Notes / risks]
RQ-22,Functional,Servo_Init(): Configure PWM at 50 Hz frequency,§5.7,Servo.c : Servo_Init,Alex,[TC-MOD-???],[TC-INT-???],[TC-SYS-???],[evidence/path],?? Not Started,[Claim — Evidence — Reasoning],[Notes / risks]
RQ-23,Functional,Servo_SetAngle(angle): Set servo to specified angle(-90 to +90),§5.7,Servo.c : Servo_SetAngle,Alex,[TC-MOD-???],[TC-INT-???],[TC-SYS-???],[evidence/path],?? Not Started,[Claim — Evidence — Reasoning],[Notes / risks]
RQ-24,Functional,LED_Init(): Initialize PortF GPIO for LEDS,§5.8,ButtonLED.c : LED_Init,Eric,[TC-MOD-???],[TC-INT-???],[TC-SYS-???],[evidence/path],?? Not Started,[Claim — Evidence — Reasoning],[Notes / risks]
RQ-25,Functional,BTN_Init(): Intialize PortF GPIO for input on PF4 & PF0 config pull up resistors for SW1 & SW2,[§X.X],ButtonLED.c: BTN_Init,Eric,[TC-MOD-???],[TC-INT-???],[TC-SYS-???],[evidence/path],?? Not Started,[Claim — Evidence — Reasoning],[Notes / risks]
,,,,,,,,,,,,
  ??  Constraint Requirements (CN-xx)  —  1 example row provided; fill in the remaining 2 rows,,,,,,,,,,,,
CN-01,Constraint,Sensor sampling runs every 100 ms; LCD & UART output runs every 1 s (±100 ms),§6.2,app.c : Main_Loop,Both,TC-MOD-021,TC-INT-024,TC-SYS-008,evidence/TC-MOD-021_timing.png,?? Not Started,Loop timer confirms 100 ms sample and 1 s output cadence,"? EXAMPLE ROW — Study this, then complete the rows below.  |  Use student-chosen WTIMER counter (not WTIMER0); do NOT busy-wait."
CN-02,Constraint,blocks for specified milliseconds at 1 ms timer resolution,[§X.X],wtimer.c : WTIMER_Delay,Eric,[CR-???],,,[evidence/path],?? Not Started,[CER claim],[Notes / risks]
CN-03,Constraint,UART output updates every 1 second (NO 57600 baud),[§X.X],UART.c : UART0_SendChar,Dante,[CR-???],,,[evidence/path],?? Not Started,[CER claim],[Notes / risks]
CN-04,Constraint,I2C runs at 100 kHz,[§X.X],I2C.c : I2C_Init,TK,[CR-???],,,[evidence/path],?? Not Started,[CER claim],[Notes / risks]
CN-05,Constraint,Color sensor  must be sampled every 100ms with valid data,[§X.X],TCS34725.c : TCS34725_Init,Alex,[CR-???],,,[evidence/path],?? Not Started,[CER claim],[Notes / risks]
CN-06,Constraint,LCD display updates every 1s and must show valid formatted data without corruption,[§X.X],LCD.c : LCD_PrintText/LCD_SetCursor,Dante,[CR-???],,,[evidence/path],?? Not Started,[CER claim],[Notes / risks]
CN-07,Constraint,PWM signal runs at 50 Hz with pulse width 1-2ms which corresponds to -90deg to 90deg,[§X.X],pwm.c : PWM_Init/Servo_SetAngle,Alex,[CR-???],,,[evidence/path],?? Not Started,[CER claim],[Notes / risks]
CN-08,Constraint,"System maintains concurrent operation consisting of 100ms sensor updates, 1s LCD display updates, and servo response without delays",[§X.X],main.c : Main_Loop,Dante,[CR-???],,,[evidence/path],?? Not Started,[CER claim],[Notes / risks]
CN-09,Constraint,IMU Sensor must be sampled every 100ms with valid data,[§X.X],MPU6050.c: MPU6050_ReadAccel & MPU6050_ReadGyro,Eric,[CR-???],,,[evidence/path],?? Not Started,[CER claim],[Notes / risks]
,,,,,,,,,,,,
  ??  Design Requirements (DES-xx)  —  1 example row provided; fill in the remaining 1 row,,,,,,,,,,,,
DES-01,Design,Multiple I2C device designs considered; single-bus shared SDA/SCL chosen with external pull-ups,"§2.1, Workflow §1",i2c.c; hardware schematic,Both,,,,evidence/DES-001_design_decision.pdf,?? Not Started,Shared bus minimises GPIO use; 4.7 k? pull-ups meet Standard Mode rise-time spec,"? EXAMPLE ROW — Study this, then complete the rows below.  |  Document trade-offs vs software I2C or separate buses."
DES-02,Design,"Modular driver architecture chosen: WTIMER, UART0, I2C, TCS34725, MPU6050, LCD, PWM, and app layers kept in separate source files",[§X.X],"wtimer.c, UART.c, I2c.c, TCS34725.c + MPU6050.c + LCD.c + PWM.c",[Name],,,,[evidence/path],?? Not Started,[CER claim],[Notes / risks]
,,,,,,,,,,,,
  ??  System Requirements (SYS-xx)  —  1 example row provided; fill in the remaining 1 row,,,,,,,,,,,,
SYS-01,System,"Full system initialises all 7 modules, detects all 3 I2C devices, and enters main loop without hang",§6.2,app.c : main(),Both,,,TC-SYS-009,evidence/TC-SYS-009_full_init.mp4,?? Not Started,UART log shows all 'OK' messages and loop starts within 3 s of power-on,"? EXAMPLE ROW — Study this, then complete the rows below.  |  Failure of any sensor init should print diagnostic; student-chosen peripherals must all initialise."
SYS-02,System,"Integrated system reads colour and motion sensors, displays colour and angle, drives servo, and indicates dominant colour continuously",[§X.X],app.c : main(),[Name],,,[TC-SYS-???],[evidence/path],?? Not Started,[CER claim],[Notes / risks]
